location,0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
Rio Grande,33.4,d_19590101,21.5,16.7,8.2,4.5,1.4,0,45.1,27,5.7,2,0.6
Rio Grande,33.2,d_19590201,21.8,16.6,7.6,4.1,1.1,0,45,28.4,4.6,1.5,0.3
Rio Grande,35.9,d_19590301,22.1,16.8,7.5,4,1.4,0,41.8,22.9,3.3,0.8,0
Rio Grande,39.2,d_19590401,11.5,6.4,1.6,1,0.5,0,49.2,27.5,2.8,0.3,0
Rio Grande,30.1,d_19590501,8.8,5.3,1.7,0.6,0,0,61.3,42.7,7.7,1.3,0
Rio Grande,62.1,d_19590601,20.7,11.6,2.5,0.9,0,0,17.3,6.3,0.1,0,0
Rio Grande,43.5,d_19590701,44.9,33.4,18.7,13.1,4.6,0,11.6,5,1.2,0,0
Rio Grande,51.9,d_19590801,30.7,16.3,3.4,0.9,0,0,17.2,8.4,0,0,0
Rio Grande,47.4,d_19590901,44.3,30.1,8.2,2.5,0.3,0,8.2,1.4,0,0,0
Rio Grande,46.4,d_19591001,31,18.4,2.8,0.5,0,0,22.5,10.5,2.6,0.7,0
Rio Grande,46.6,d_19591101,31.4,18.2,3.1,0.7,0,0,22,11,1.5,0.2,0
Rio Grande,42.3,d_19591201,24.5,12.2,2.3,0.4,0,0,33.2,19.6,2.7,0,0
Rio Grande,47.1,d_19600101,18.1,7.4,0.6,0,0,0,34.9,22.4,6,0.4,0
Rio Grande,44.1,d_19600201,26.4,17.6,2.8,0.1,0,0,29.4,16.8,3.8,0.3,0
Rio Grande,48.4,d_19600301,26.8,16.2,2.6,0,0,0,24.8,12.7,1.4,0,0
Rio Grande,53.8,d_19600401,30.5,16.7,4.5,1.2,0.1,0,15.8,7.2,1.8,0.3,0
Rio Grande,44,d_19600501,50.8,34.7,15.1,6.4,0.3,0,5.1,2.5,0.1,0,0
Rio Grande,61,d_19600601,22.2,8.7,0,0,0,0,16.8,5.4,0.1,0,0
Rio Grande,52.9,d_19600701,15.1,7.7,0.7,0.1,0,0,32.1,13.3,5.4,3,0.8
Rio Grande,45.1,d_19600801,23.4,14.9,6.1,1.7,0.2,0,31.6,17.3,6.8,4.1,1.2
